our_slug	name_zh	omni_category	primary_omni_slug	merged_omni_slugs	url_en_primary	progress	note
how-to-calculate-p-value	p 值	statistics	p-value	p-value	https://www.omnicalculator.com/statistics/p-value	已上线	A.7
how-to-calculate-confidence-interval	置信区间	statistics	confidence-interval	confidence-interval|90-confidence-interval|95-confidence-interval|99-confidence-interval	https://www.omnicalculator.com/statistics/confidence-interval	已上线	禁拆 90/95/99 URL
how-to-calculate-z-score	Z 分数	statistics	z-score	z-score	https://www.omnicalculator.com/statistics/z-score	已上线	A.7
how-to-calculate-sample-size	样本量	statistics	sample-size	sample-size	https://www.omnicalculator.com/statistics/sample-size	已上线	A.7
how-to-calculate-significant-figures	有效数字	math	sig-fig	sig-fig	https://www.omnicalculator.com/math/sig-fig	已上线	Omni math 热门
how-to-calculate-scientific-notation	科学计数法	math	scientific-notation	scientific-notation|scientific-notation-converter	https://www.omnicalculator.com/math/scientific-notation	已上线	A.7
how-to-calculate-logarithm	对数	math	log	log|natural-log|antilog|log-2|negative-log	https://www.omnicalculator.com/math/log	已上线	合并原 log-calculator
how-to-calculate-pythagorean-theorem	勾股定理	math	pythagorean-theorem	pythagorean-theorem	https://www.omnicalculator.com/math/pythagorean-theorem	已上线	A.7
how-to-calculate-slope	斜率	math	slope	slope	https://www.omnicalculator.com/math/slope	已上线	A.7
how-to-calculate-exponent	指数幂	math	exponent	exponent	https://www.omnicalculator.com/math/exponent	已上线	shortlist 原有
how-to-calculate-gpa	GPA	other	gpa	gpa|college-gpa|high-school-gpa|gpa-pakistan	https://www.omnicalculator.com/other/gpa	已上线	禁拆 college/high-school 薄页
how-to-calculate-discount	折扣 / 优惠价	finance	discount	discount|markdown|percent-off|percentage-discount|double-discount	https://www.omnicalculator.com/finance/discount	已上线	Omni 补充；多层折扣作同页选项
how-to-calculate-markup	加价率 Markup	finance	markup	markup	https://www.omnicalculator.com/finance/markup	已上线	与 discount 分意图
how-to-calculate-profit-margin	利润率	finance	net-profit-margin	net-profit-margin|operating-margin	https://www.omnicalculator.com/finance/net-profit-margin	已上线	与 gross-margin 分意图；同页多类型
how-to-calculate-contribution-margin	边际贡献	finance	contribution-margin	contribution-margin	https://www.omnicalculator.com/finance/contribution-margin	已上线	C-V4 补充
how-to-calculate-present-value	现值 / 终值 PV·FV	finance	present-value	present-value|future-value|annuity-present-value|annuity-future-value	https://www.omnicalculator.com/finance/present-value	已上线	与 NPV 分意图
how-to-calculate-irr	IRR	finance	internal-rate-of-return	internal-rate-of-return|modified-irr	https://www.omnicalculator.com/finance/internal-rate-of-return	已上线	C-V4 补充
how-to-calculate-payback-period	回收期	finance	payback-period	payback-period	https://www.omnicalculator.com/finance/payback-period	已上线	可选折现回收作同页模式
how-to-calculate-inflation	通胀	finance	inflation	inflation|cpi-inflation|salary-inflation	https://www.omnicalculator.com/finance/inflation	已上线	禁 CPI 国家矩阵铺量
how-to-calculate-vat	增值税 VAT / GST	finance	vat	vat|gst|gst-qst|margin-and-vat	https://www.omnicalculator.com/finance/vat	已上线	禁各国税率拆页；用户自填税率
how-to-calculate-debt-payoff	债务还清	finance	debt-payoff	debt-payoff|debt-snowball|credit-card-payoff	https://www.omnicalculator.com/finance/debt-payoff	已上线	雪球/雪崩作策略说明非拆页
how-to-calculate-rule-of-72	72 法则	finance	rule-of-72	rule-of-72	https://www.omnicalculator.com/finance/rule-of-72	已上线	教育向；免责
how-to-calculate-tip	小费	everyday-life	tip	tip|gratuity	https://www.omnicalculator.com/other/tip	已上线	everyday-life 补充
how-to-calculate-age	年龄	everyday-life	age	age|chronological-age	https://www.omnicalculator.com/everyday-life/age	已上线	禁宠物年龄拆页
how-to-calculate-date-difference	日期间隔	everyday-life	days-between-dates	days-between-dates	https://www.omnicalculator.com/everyday-life/days-between-dates	已上线	everyday-life
how-to-calculate-mean	平均数	statistics	mean	mean|average|geometric-mean|harmonic-mean	https://www.omnicalculator.com/math/mean	已上线	A.7 补充
how-to-calculate-median	中位数 / 众数	statistics	median	median|mean-median-mode	https://www.omnicalculator.com/statistics/median	已上线	可与 mean 互链
how-to-calculate-permutation-combination	排列组合	math	permutation	permutation|combination	https://www.omnicalculator.com/statistics/permutation	已上线	A.7 补充
how-to-calculate-quadratic-equation	二次方程	math	quadratic-formula	quadratic-formula	https://www.omnicalculator.com/math/quadratic-formula	已上线	A.7 补充
how-to-calculate-triangle-area	三角形面积	math	triangle-area	triangle-area|herons-formula|3-sides-triangle-area|right-triangle-area|equilateral-triangle-area|isosceles-triangle-area	https://www.omnicalculator.com/math/triangle-area	已上线	形状条件作选项禁拆页
how-to-calculate-circle	圆（周长/面积/弧）	math	circle	circle|circumference|arc-length|area-of-a-circle|circle-diameter	https://www.omnicalculator.com/math/circle	已上线	A.7 补充
how-to-calculate-volume	几何体积	math	volume	volume|cylinder-volume|sphere-volume|cone-volume|cube-volume	https://www.omnicalculator.com/math/volume	已上线	禁每形状一 URL
how-to-calculate-macros	宏量营养素	health	macro	macro|iifym	https://www.omnicalculator.com/health/macro	已上线	C-V5 补充；YMYL
how-to-calculate-heart-rate	心率区间	health	heart-rate	heart-rate|max-heart-rate|target-heart-rate|heart-rate-zone	https://www.omnicalculator.com/sports/heart-rate	已上线	YMYL；非医疗建议
how-to-calculate-pace	配速	sports	pace	pace|running-pace|5k-pace|marathon-pace|half-marathon-pace|bike-pace	https://www.omnicalculator.com/sports/pace	已上线	禁 5k/马拉松拆页
how-to-calculate-one-rep-max	1RM 最大重量	sports	one-rep-max	one-rep-max	https://www.omnicalculator.com/sports/one-rep-max	已上线	YMYL 运动安全免责
how-to-calculate-ohms-law	欧姆定律	physics	ohms-law	ohms-law|ohms-law-current|ohms-law-power|ohms-law-resistance	https://www.omnicalculator.com/physics/ohms-law	已上线	A.7 物理补充
how-to-calculate-density	密度	physics	density	density|density-converter|density-mass-volume	https://www.omnicalculator.com/physics/density	已上线	A.7
how-to-calculate-velocity	速度	physics	velocity	velocity|speed|speed-converter	https://www.omnicalculator.com/physics/velocity	已上线	与配速分意图（物理 vs 跑步）
how-to-calculate-acceleration	加速度	physics	acceleration	acceleration|acceleration-using-force-and-mass|angular-acceleration	https://www.omnicalculator.com/physics/acceleration	已上线	A.7
