slug	category	title_en	primary_roots	secondary_roots	head_note	adwords_seed_suggested
how-to-calculate-rule-of-72	calculator	Rule of 72 Calculator — Years to Double	rule of 72 calculator	doubling time calculator	calculator head usually crowded; expand AdWords from primary → long_gap only	rule of 72 calculator
how-to-calculate-salary-hourly	calculator	Salary to Hourly Calculator — How to Convert Pay Rates	salary to hourly calculator	hourly to salary converter	calculator head usually crowded; expand AdWords from primary → long_gap only	salary to hourly calculator
how-to-calculate-sample-size	calculator	Sample Size Calculator — How to Estimate Required n	sample size calculator	sample size for survey	calculator head usually crowded; expand AdWords from primary → long_gap only	sample size calculator
how-to-calculate-scientific-notation	calculator	Scientific Notation Calculator — How to Convert Scientific Notation	scientific notation calculator	convert to scientific notation	calculator head usually crowded; expand AdWords from primary → long_gap only	scientific notation calculator
how-to-calculate-significant-figures	calculator	Significant Figures Calculator — How to Count and Round Sig Figs	significant figures calculator	sig figs calculator	calculator head usually crowded; expand AdWords from primary → long_gap only	significant figures calculator
how-to-calculate-slope	calculator	Slope Calculator — How to Calculate Slope Between Two Points	slope calculator	slope of a line calculator	calculator head usually crowded; expand AdWords from primary → long_gap only	slope calculator
how-to-calculate-standard-deviation	calculator	Standard Deviation Calculator — How to Calculate SD and Variance	standard deviation calculator	std deviation calculator	calculator head usually crowded; expand AdWords from primary → long_gap only	standard deviation calculator
how-to-calculate-tile	calculator	Tile Calculator — How to Estimate Tile Quantity	tile calculator	how many tiles do I need	calculator head usually crowded; expand AdWords from primary → long_gap only	tile calculator
how-to-calculate-tip	calculator	Tip Calculator — Tip Amount and Split	tip calculator	gratuity calculator	calculator head usually crowded; expand AdWords from primary → long_gap only	tip calculator
how-to-calculate-triangle-area	calculator	Triangle Area Calculator	triangle area calculator	area of a triangle calculator	calculator head usually crowded; expand AdWords from primary → long_gap only	triangle area calculator
how-to-calculate-vat	calculator	VAT / GST Calculator — Add or Extract Tax	vat calculator	sales tax calculator vat	calculator head usually crowded; expand AdWords from primary → long_gap only	vat calculator
how-to-calculate-velocity	calculator	Velocity Calculator — Distance over Time	velocity calculator	speed calculator physics	calculator head usually crowded; expand AdWords from primary → long_gap only	velocity calculator
how-to-calculate-volume	calculator	Volume Calculator — Box and Sphere	volume calculator	how to calculate volume	calculator head usually crowded; expand AdWords from primary → long_gap only	volume calculator
how-to-calculate-z-score	calculator	Z-Score Calculator — How to Calculate a Standard Score	z score calculator	standard score calculator	calculator head usually crowded; expand AdWords from primary → long_gap only	z score calculator
square-feet	calculator	Square Feet to Square Meters — Area Converter for Homes & Renovation	square feet calculator, sq ft to sq m	square feet to square meters, area converter home	unit long-tails > bare sqft	square feet calculator
unit-converter	calculator	Unit Converter — Length / Mass / Temperature / Area / Volume / Speed	unit converter, convert units	length converter, mass converter, temperature converter	head crowded; per-unit long-tails absorb	unit converter
brand-color-token-pack	design	Generate Brand Color Scale — 50–950 Palette & CSS Tokens	design tokens colors, color tokens	css variables palette, brand color system	mid/long	design tokens colors
brand-style-guide	design	Brand Style Guide — Generate a Modular Draft You Can Edit	brand style guide generator	brand guidelines template	mid	brand style guide generator
smart-website-color-scheme	design	Smart Website Color Scheme — Semantic CSS Tokens	website color scheme, color palette generator	web color scheme tool	mid	website color scheme
wcag-contrast-checker	design	WCAG Contrast Checker — AA/AAA Ratio Online	contrast checker, wcag contrast	color contrast ratio accessibility	mid a11y	contrast checker
add-www-to-dns	developer	Add WWW to DNS — A/CNAME, Apex Rules & Provider Guides	add www dns, www cname	www a record, point www to domain, dns www subdomain	niche; good gap candidate	add www dns
archive-extractor	developer	Archive Extractor Online — Open Compressed Files in Your Browser	extract zip, unzip online	extract rar, extract 7z, open tar.gz	head: unzip online crowded; prefer format long-tails	extract zip
base64	developer	Base64 Encode & Decode — Convert Text in Your Browser	base64 encode, base64 decode	base64 to text, encode string base64	head crowded	base64 encode
core-web-vitals-checker	developer	Core Web Vitals Checker — Grade your page-experience scores	core web vitals checker, lcp inp cls	cwv test url, page experience check	mid; SEO niche	core web vitals checker
csv-json	developer	CSV ↔ JSON Converter — Types, Delimiters & Local	csv to json, json to csv	convert csv json online	head mid-crowded	csv to json
domain-lookup	developer	Domain Lookup — Check DNS Records & Registration Online	whois lookup, domain lookup	dns lookup domain, check domain registration	head crowded	whois lookup
file-hash	developer	File Hash Checker — Verify Digests in Your Browser	file hash checksum, md5 sha256 file	hash calculator file, verify file checksum	mid; algorithm long-tails	file hash checksum
hreflang-generator	developer	Hreflang Generator — Create hreflang tags for multilingual sites	hreflang generator, hreflang tags	hreflang sitemap, alternate hreflang	SEO niche gap-friendly	hreflang generator
html-entity	developer	HTML Entity Encoder & Decoder — Escape, Unescape & Local	html entity encoder, html entities decode	escape html entities, &amp; converter	mid	html entity encoder
indexnow	developer	IndexNow — Bing URL Submit, Key Check & Status Codes	indexnow submit, indexnow api	bing indexnow key, submit url indexnow	niche SEO	indexnow submit
ip-address	developer	What Is My IP Address — See Your Public IP (IPv4 or IPv6)	what is my ip, my ip address	ipv4 address lookup, show my ip	head crowded; locale_gap possible	what is my ip
json-schema-validator	developer	JSON Schema Validator — Draft-07 Paths & Local	json schema validator, validate json schema	json schema draft check	mid developer	json schema validator
jwt-decoder	developer	JWT Decoder — Read Header & Payload Locally (No Verify)	jwt decoder, decode jwt	jwt payload viewer, parse jwt token	mid	jwt decoder
magnet-link-decoder	developer	Magnet Link Decoder — Parse Info Hash and Trackers Locally	magnet link decoder, decode magnet uri	magnet link to torrent info	niche	magnet link decoder
markdown-to-html	developer	Markdown ↔ HTML Converter — Sanitize & Preview	markdown to html, html to markdown	md converter online, convert markdown	head mid	markdown to html
meta-serp-preview	developer	Google SERP Preview — Check title & description snippets	serp preview, google title preview	meta description preview serp	SEO niche	serp preview
meta-tag-generator	developer	Meta Tag Generator — Generate complete page head tags	meta tag generator, meta description generator	html meta tags	mid	meta tag generator
on-page-seo-checker	developer	On-Page SEO Checker — Find and fix page tag issues	on page seo checker, seo audit page	analyze page seo	crowded SaaS; long_tail specifics	on page seo checker
open-graph-preview	developer	Open Graph Preview — Check social share cards	open graph preview, og image preview	facebook share preview, twitter card preview	mid	open graph preview
password-generator	developer	Random Password Generator — Create Passwords Locally	password generator, strong password	random password generator	head crowded	password generator
robots-txt-generator	developer	Robots.txt Generator — Manage Allow & Disallow Rules for AI Crawlers	robots.txt generator, create robots txt	robots txt disallow	SEO niche	robots.txt generator
schema-jsonld-generator	developer	JSON-LD Schema Generator — Schema.org Markup Online	json ld generator, schema markup generator	json-ld schema.org	mid SEO; GSC impressions exist	json ld generator
sitemap-xml-generator	developer	XML Sitemap Generator — Create sitemap.xml From URLs	xml sitemap generator, sitemap generator	create sitemap.xml	mid	xml sitemap generator
text-diff	developer	Compare Two Texts Online — Text Diff Checker	text diff, compare two texts	diff checker online, compare documents text	mid; mode long-tails	text diff
timezone-converter	developer	Time Zone Converter — Compare One Moment Worldwide	timezone converter, time zone converter	convert time zones, world clock converter	head mid	timezone converter
unix-timestamp	developer	Unix Timestamp Converter — Epoch ↔ Readable Time	unix timestamp converter, epoch converter	timestamp to date, epoch to datetime	mid	unix timestamp converter
unzip-file	developer	Unzip File Online — Extract ZIP Files in Your Browser	unzip file online, extract zip	open zip online	overlaps archive-extractor	unzip file online
utm-builder	developer	UTM Builder — Create campaign tracking URLs	utm builder, utm campaign url builder	google analytics utm generator	mid	utm builder
uuid-generator	developer	UUID & ULID Generator — Create IDs in Your Browser	uuid generator, guid generator	uuid v4 generator	mid	uuid generator
website-headers	developer	Check HTTP Response Headers Online	http headers checker, check response headers	website headers lookup	mid	http headers checker
yaml-json	developer	YAML ↔ JSON Converter — Types, Multi-doc & Local	yaml to json, json to yaml	yaml json converter	head mid-crowded	yaml to json
add-watermark	image	Add Text Watermark to Photo — Local Browser Tool	watermark photo, add watermark	text watermark, logo watermark, watermark image online	head: watermark remover/add tools crowded	watermark photo
color-from-image	image	Extract Colors from Image — Palette & Click Pick	extract colors from image, color palette from photo	eyedropper image, dominant colors image	good long-tail cluster	extract colors from image
flip-image	image	Flip Image — Mirror Horizontally or Vertically	flip image, mirror image	flip photo horizontal vertical	mid	flip image
image-border	image	Add Border to Image — Color & Width Online	add border to image, image border	photo frame border online	mid	add border to image
image-compress	image	Image Compressor — Resize, Quality & Target Size Local	compress image, reduce image size	compress jpeg, compress png, compress webp, image to kb	head crowded; target KB / format long-tails	compress image
image-crop	image	Crop & Resize Image — Local Aspect Presets	crop image, crop photo	crop image online, aspect ratio crop	head crowded	crop image
image-exif	image	Photo EXIF Viewer & Remover — GPS, Camera & Local Strip	exif viewer, remove exif	view photo metadata, strip gps from photo	good long-tail: remove gps / privacy	exif viewer
image-format-converter	image	Image Format Converter — PNG JPEG WebP AVIF BMP GIF ICO SVG	convert image format, jpg to png	png to webp, heic to jpg, image converter	head+pairs; absorb pairs into one URL	convert image format
image-grayscale	image	Convert Image to Grayscale — Black & White Online	grayscale image, black and white photo	convert image to grayscale	mid	grayscale image
image-merge	image	Merge Images — Combine Photos into One Collage	merge images, combine photos	stitch images, collage maker, join images side by side	good; layout long-tails	merge images
image-optimizer	image	Image Optimizer — WebP, AVIF & MozJPEG Local	optimize image for web, image optimizer	compress for web without quality loss	overlaps compress	optimize image for web
image-overlay	image	Overlay Images — Put a Logo on a Photo	image overlay, overlay logo on image	png overlay photo	mid	image overlay
image-to-base64	image	Image to Base64 Converter — Encode & Decode Locally	image to base64, base64 image	png to base64, data uri image	mid	image to base64
images-to-gif	image	Images to GIF — Make an Animated GIF Locally	images to gif, make gif from photos	photo to gif converter, create gif online	mid	images to gif
images-to-pdf	image	Images to PDF — Combine Photos into One File	images to pdf, jpg to pdf	png to pdf, convert photos to pdf	head mid-crowded	images to pdf
images-to-ppt	image	Images to PowerPoint — Photos to PPTX Slides	images to powerpoint, photos to ppt	jpg to pptx	long_gap-ish	images to powerpoint
images-to-word	image	Images to Word — Build a DOCX from Photos	images to word, jpg to docx	photos to word document	long_gap-ish	images to word
pdf-page-to-image-sizes	image	PDF Page to Image Sizes — Multi-Size Export Pack	pdf page size, pdf dimensions	pdf page size inches mm	long_gap-ish	pdf page size
pdf-to-jpg	image	PDF to JPG — Convert Pages to Images in Your Browser	pdf to jpg, pdf to jpeg	convert pdf to image	head crowded	pdf to jpg
compress-pdf	pdf	Compress PDF — Shrink File Size in Your Browser	compress pdf, reduce pdf size	pdf compressor online, shrink pdf	head crowded; target size / quality long-tails	compress pdf
crop-pdf	pdf	Crop PDF — Trim Page Margins in Your Browser	crop pdf, pdf crop pages	trim pdf margins	mid	crop pdf
merge-pdf	pdf	Merge PDF — Combine Files in Your Browser	merge pdf, combine pdf	join pdf files, pdf merger	head crowded	merge pdf
organize-pdf	pdf	Organize PDF — Reorder or Remove Pages in Your Browser	reorder pdf pages, organize pdf	rearrange pdf pages	mid	reorder pdf pages
pdf-page-numbers	pdf	Add Page Numbers to PDF — In Your Browser	add page numbers to pdf	pdf page numbering	mid long-tail friendly	add page numbers to pdf
pdf-to-markdown	pdf	PDF to Markdown — Extract Text for Notes in Your Browser	pdf to markdown, convert pdf md	pdf to md converter	long_gap-ish	pdf to markdown
pdf-watermark	pdf	PDF Watermark — Stamp Text on Every Page in Your Browser	pdf watermark, add watermark to pdf	stamp pdf watermark	mid	pdf watermark
protect-pdf	pdf	Protect PDF — Password-Encrypt in Your Browser	password protect pdf, encrypt pdf	lock pdf with password	mid	password protect pdf
rotate-pdf	pdf	Rotate PDF — Fix Page Orientation in Your Browser	rotate pdf, rotate pdf pages	turn pdf landscape	mid	rotate pdf
split-pdf	pdf	Split PDF — Extract Pages Locally	split pdf, extract pdf pages	separate pdf pages	head mid	split pdf
unlock-pdf	pdf	Unlock PDF — Remove Password You Already Know	unlock pdf, remove pdf password	decrypt pdf online	sensitive; mid	unlock pdf
